予約種別,年度,比較年,日付,曜日,取扱額,取扱額_比較年実績,取扱額_比較年予約,宿泊人泊数,人泊数_比較年実績,人泊数_比較年予約,宿泊人泊単価,単価_比較年実績,単価_比較年予約
宿泊,令和7年度,1年前,2025-04-29,火,400万円,241万円 (165.7%),241万円 (165.7%),294,193 (152.3%),193 (152.3%),13607,12506 (108.8%),12506 (108.8%)
宿泊,令和7年度,1年前,2025-04-30,水,226万円,231万円 (97.9%),231万円 (97.9%),202,186 (108.6%),186 (108.6%),11201,12424 (90.2%),12424 (90.2%)
