予約種別,年度,比較年,日付,曜日,取扱額,取扱額_比較年実績,取扱額_比較年予約,人数,人数_比較年実績,人数_比較年予約,単価,単価_比較年実績,単価_比較年予約
遊び体験,令和7年度,1年前,2025-06-22,土,43万円,12万円 (352.6%),12万円 (352.6%),285,76 (375.0%),76 (375.0%),1505,1600 (94.0%),1600 (94.0%)
遊び体験,令和7年度,1年前,2025-06-23,日,39万円,10万円 (398.4%),10万円 (398.4%),267,63 (423.8%),63 (423.8%),1471,1565 (94.0%),1565 (94.0%)
