date,platform,handle,text,likes,reposts,hashtags
2025-04-30,X,@Tohoku_Network,#米沢電力センター は、#米沢上杉まつり に参加します！ 5月2日に行われる #武禘式 には、同電力センターの所長が長尾遠江守藤景として出陣し、5月3日の #上杉軍団行列 と #川中島の合戦 には、関係会社と合わせて約50名が参加⚔️ 大迫力の戦国絵巻が現代によみがえります🔥 ▼お祭りについてはこちらから！ #山形 #米沢（写真は昨年以前の様子）,45,0,#米沢電力センター|#米沢上杉まつり|#武禘式|#上杉軍団行列|#川中島の合戦|#山形|#米沢
2025-04-28,X,@uesugijoshien,明日29日はいよいよ #米沢上杉まつり が開幕🎊 そしてディズニースペシャルパレードも開催❗ 上杉城史苑では 、 米沢はまだ牧場 様 生乳ジェラート＆チーズトースト THE CÖSA 様 スパイスカレー&ラムステーキ が特別出店致します✨ ぜひぜひご利用くださいね😊🎶,43,0,#米沢上杉まつり
2025-05-04,X,@YUI_OKUDA_0108,"Yesterday at the Yonezawa Uesugi Festival Kawanakajima Battle, I also met Uesugi Kenshin🎶 So cool✨ So kind🩷 Thank you so much🎵 The strawberry flavored shaved ice with milk from the stall was also delicious😋🍧💕 Yonezawa Uesugi Festival will be a wonderful memory in my life😊",41,0,#米沢上杉まつり|#川中島の戦い|#上杉謙信
2025-05-04,X,@ybr1252014,5/3撮影 山形県米沢市 米沢上杉まつり、川中島合戦 武田軍、上杉軍鉄砲隊,41,0,#米沢上杉まつり|#山形県|#火縄銃
2025-05-03,X,@YUI_OKUDA_0108,Today I came to the Yonezawa Uesugi Festival Kawanakajima Battle🎶 There are lots of lively samurai✨ So cool🎵 I had frankfurters and yakisoba for lunch🎶 So delicious😋 The battle is about to begin😊 I'm really looking forward🎵,41,0,#米沢上杉まつり|#川中島合戦
2025-05-05,X,@ybr1252014,5/3撮影 山形県米沢市 米沢上杉まつり、出発式,39,0,#米沢上杉まつり|#山形県
2025-04-28,X,@KaedeyaGoemon,5/3（土）に現地に突撃じゃあ〜🚌💨 久々のご当地イベント参戦楽しみ😆✨,38,0,#信長の野望出陣|#信長出陣|#米沢上杉まつり
2025-04-29,X,@kuunori,上杉まつり開幕！ 東京ディズニーリゾート スペシャルパレード ミッキーたちが米沢に！,36,0,#米沢上杉まつり
2025-05-02,X,@niigata_nippo,山形県の米沢上杉まつり「上杉軍団行列」で女性初の上杉謙信役！新潟市中央区のモデル五十嵐幸子さん 軍団行列は5月3日,33,0,#米沢市|#米沢上杉まつり|#上杉軍団行列
2025-05-03,X,@jojoota,川中島の合戦 討死の報告で泣いてしまった😭 信長出陣のブースにもちゃんと寄って プレゼントもらったよ,30,0,#上杉まつり|#信長出陣
