# じゃらんエリアダッシュボード／予約状況／カレンダー 日別データ【宿泊】,,,,,,,,,,,,,
# データソース: https://prod-apnortheast-a.online.tableau.com/#/site/jalanareadashboard/views/ver_2/sheet0,,,,,,,,,,,,,
# 比較年: 1年前（前年同月日との比較）,,,,,,,,,,,,,
# 取扱額の単位は万円、人数=宿泊人泊数、単価=宿泊人泊単価（円）,,,,,,,,,,,,,
# 比較年実績/比較年予約 セルは「値 (前年比%)」の形式,,,,,,,,,,,,,
# 「※」は予約実績法人数1件以下または予約件数4件以下のため非公開,,,,,,,,,,,,,
予約種別,年度,比較年,日付,曜日,取扱額,取扱額_比較年実績,取扱額_比較年予約,宿泊人泊数,人泊数_比較年実績,人泊数_比較年予約,宿泊人泊単価,単価_比較年実績,単価_比較年予約
宿泊,令和6年度,1年前,2024-08-15,木,331万円,194万円 (171.3%),194万円 (171.3%),287,193 (148.7%),193 (148.7%),"11,550","10,028 (115.2%)","10,028 (115.2%)"
宿泊,令和6年度,1年前,2024-08-16,金,313万円,209万円 (149.4%),209万円 (149.4%),258,216 (119.4%),216 (119.4%),"12,121","9,688 (125.1%)","9,688 (125.1%)"
宿泊,令和6年度,1年前,2024-08-17,土,315万円,159万円 (197.7%),159万円 (197.7%),241,170 (141.8%),170 (141.8%),"13,076","9,377 (139.4%)","9,377 (139.4%)"
宿泊,令和6年度,1年前,2024-08-18,日,245万円,223万円 (109.5%),223万円 (109.5%),229,211 (108.5%),211 (108.5%),"10,677","10,582 (100.9%)","10,582 (100.9%)"
宿泊,令和6年度,1年前,2024-08-19,月,135万円,189万円 (71.4%),189万円 (71.4%),104,168 (61.9%),168 (61.9%),"12,965","11,247 (115.3%)","11,247 (115.3%)"
宿泊,令和6年度,1年前,2024-08-20,火,85万円,151万円 (56.2%),151万円 (56.2%),101,133 (75.9%),133 (75.9%),"8,412","11,358 (74.1%)","11,358 (74.1%)"
宿泊,令和6年度,1年前,2024-08-21,水,163万円,122万円 (133.2%),122万円 (133.2%),161,118 (136.4%),118 (136.4%),"10,114","10,362 (97.6%)","10,362 (97.6%)"
宿泊,令和6年度,1年前,2024-08-22,木,150万円,163万円 (92.0%),163万円 (92.0%),170,186 (91.4%),186 (91.4%),"8,818","8,760 (100.7%)","8,760 (100.7%)"
宿泊,令和6年度,1年前,2024-08-23,金,221万円,231万円 (95.6%),231万円 (95.6%),222,242 (91.7%),242 (91.7%),"9,953","9,553 (104.2%)","9,553 (104.2%)"
宿泊,令和6年度,1年前,2024-08-24,土,126万円,165万円 (76.4%),165万円 (76.4%),124,164 (75.6%),164 (75.6%),"10,190","10,086 (101.0%)","10,086 (101.0%)"
宿泊,令和6年度,1年前,2024-08-25,日,267万円,350万円 (76.2%),350万円 (76.2%),250,361 (69.3%),361 (69.3%),"10,662","9,689 (110.0%)","9,689 (110.0%)"
宿泊,令和6年度,1年前,2024-08-26,月,110万円,108万円 (102.4%),108万円 (102.4%),97,119 (81.5%),119 (81.5%),"11,390","9,065 (125.6%)","9,065 (125.6%)"
宿泊,令和6年度,1年前,2024-08-27,火,134万円,147万円 (90.8%),147万円 (90.8%),141,150 (94.0%),150 (94.0%),"9,491","9,828 (96.6%)","9,828 (96.6%)"
宿泊,令和6年度,1年前,2024-08-28,水,119万円,122万円 (97.2%),122万円 (97.2%),119,120 (99.2%),120 (99.2%),"9,958","10,159 (98.0%)","10,159 (98.0%)"
宿泊,令和6年度,1年前,2024-08-29,木,110万円,126万円 (87.5%),126万円 (87.5%),133,143 (93.0%),143 (93.0%),"8,297","8,816 (94.1%)","8,816 (94.1%)"
宿泊,令和6年度,1年前,2024-08-30,金,162万円,130万円 (124.2%),130万円 (124.2%),206,152 (135.5%),152 (135.5%),"7,846","8,564 (91.6%)","8,564 (91.6%)"
宿泊,令和6年度,1年前,2024-08-31,土,116万円,105万円 (110.2%),105万円 (110.2%),123,116 (106.0%),116 (106.0%),"9,409","9,051 (104.0%)","9,051 (104.0%)"
宿泊,令和6年度,1年前,2024-09-01,日,172万円,204万円 (83.9%),204万円 (83.9%),188,179 (105.0%),179 (105.0%),"9,125","11,417 (79.9%)","11,417 (79.9%)"
宿泊,令和6年度,1年前,2024-09-02,月,97万円,107万円 (91.1%),107万円 (91.1%),87,106 (82.1%),106 (82.1%),"11,160","10,056 (111.0%)","10,056 (111.0%)"
宿泊,令和6年度,1年前,2024-09-03,火,85万円,207万円 (41.2%),207万円 (41.2%),83,246 (33.7%),246 (33.7%),"10,261","8,411 (122.0%)","8,411 (122.0%)"
宿泊,令和6年度,1年前,2024-09-04,水,75万円,118万円 (63.5%),118万円 (63.5%),83,131 (63.4%),131 (63.4%),"8,991","8,978 (100.1%)","8,978 (100.1%)"
宿泊,令和6年度,1年前,2024-09-05,木,201万円,97万円 (208.0%),97万円 (208.0%),233,116 (200.9%),116 (200.9%),"8,623","8,326 (103.6%)","8,326 (103.6%)"
宿泊,令和6年度,1年前,2024-09-06,金,156万円,178万円 (87.7%),178万円 (87.7%),150,183 (82.0%),183 (82.0%),"10,418","9,734 (107.0%)","9,734 (107.0%)"
宿泊,令和6年度,1年前,2024-09-07,土,118万円,132万円 (89.5%),132万円 (89.5%),107,130 (82.3%),130 (82.3%),"11,003","10,119 (108.7%)","10,119 (108.7%)"
宿泊,令和6年度,1年前,2024-09-08,日,182万円,171万円 (106.5%),171万円 (106.5%),169,152 (111.2%),152 (111.2%),"10,747","11,224 (95.8%)","11,224 (95.8%)"
宿泊,令和6年度,1年前,2024-09-09,月,158万円,134万円 (117.9%),134万円 (117.9%),134,113 (118.6%),113 (118.6%),"11,819","11,888 (99.4%)","11,888 (99.4%)"
宿泊,令和6年度,1年前,2024-09-10,火,188万円,134万円 (141.0%),134万円 (141.0%),190,153 (124.2%),153 (124.2%),"9,909","8,730 (113.5%)","8,730 (113.5%)"
宿泊,令和6年度,1年前,2024-09-11,水,122万円,97万円 (125.3%),97万円 (125.3%),137,105 (130.5%),105 (130.5%),"8,913","9,277 (96.1%)","9,277 (96.1%)"
宿泊,令和6年度,1年前,2024-09-12,木,140万円,84万円 (166.1%),84万円 (166.1%),151,97 (155.7%),97 (155.7%),"9,241","8,659 (106.7%)","8,659 (106.7%)"
宿泊,令和6年度,1年前,2024-09-13,金,161万円,138万円 (116.6%),138万円 (116.6%),183,145 (126.2%),145 (126.2%),"8,773","9,493 (92.4%)","9,493 (92.4%)"
宿泊,令和6年度,1年前,2024-09-14,土,183万円,174万円 (105.2%),174万円 (105.2%),178,172 (103.5%),172 (103.5%),"10,301","10,133 (101.7%)","10,133 (101.7%)"
宿泊,令和6年度,1年前,2024-09-15,日,383万円,368万円 (104.1%),368万円 (104.1%),302,298 (101.3%),298 (101.3%),"12,674","12,337 (102.7%)","12,337 (102.7%)"
宿泊,令和6年度,1年前,2024-09-16,月,328万円,294万円 (111.5%),294万円 (111.5%),289,290 (99.7%),290 (99.7%),"11,336","10,134 (111.9%)","10,134 (111.9%)"
宿泊,令和6年度,1年前,2024-09-17,火,112万円,100万円 (112.2%),100万円 (112.2%),88,87 (101.1%),87 (101.1%),"12,712","11,462 (110.9%)","11,462 (110.9%)"
宿泊,令和6年度,1年前,2024-09-18,水,104万円,116万円 (90.2%),116万円 (90.2%),95,115 (82.6%),115 (82.6%),"10,968","10,045 (109.2%)","10,045 (109.2%)"
宿泊,令和6年度,1年前,2024-09-19,木,134万円,116万円 (114.9%),116万円 (114.9%),123,128 (96.1%),128 (96.1%),"10,864","9,084 (119.6%)","9,084 (119.6%)"
宿泊,令和6年度,1年前,2024-09-20,金,182万円,196万円 (93.0%),196万円 (93.0%),214,201 (106.5%),201 (106.5%),"8,512","9,740 (87.4%)","9,740 (87.4%)"
宿泊,令和6年度,1年前,2024-09-21,土,122万円,129万円 (94.1%),129万円 (94.1%),126,127 (99.2%),127 (99.2%),"9,646","10,166 (94.9%)","10,166 (94.9%)"
宿泊,令和6年度,1年前,2024-09-22,日,303万円,291万円 (104.0%),291万円 (104.0%),294,269 (109.3%),269 (109.3%),"10,291","10,820 (95.1%)","10,820 (95.1%)"
宿泊,令和6年度,1年前,2024-09-23,月,331万円,133万円 (248.3%),133万円 (248.3%),280,123 (227.6%),123 (227.6%),"11,830","10,845 (109.1%)","10,845 (109.1%)"
宿泊,令和6年度,1年前,2024-09-24,火,98万円,106万円 (92.0%),106万円 (92.0%),77,104 (74.0%),104 (74.0%),"12,680","10,208 (124.2%)","10,208 (124.2%)"
宿泊,令和6年度,1年前,2024-09-25,水,89万円,152万円 (58.2%),152万円 (58.2%),95,150 (63.3%),150 (63.3%),"9,323","10,140 (91.9%)","10,140 (91.9%)"
宿泊,令和6年度,1年前,2024-09-26,木,162万円,80万円 (202.3%),80万円 (202.3%),157,89 (176.4%),89 (176.4%),"10,293","8,975 (114.7%)","8,975 (114.7%)"
宿泊,令和6年度,1年前,2024-09-27,金,213万円,178万円 (119.9%),178万円 (119.9%),231,199 (116.1%),199 (116.1%),"9,226","8,931 (103.3%)","8,931 (103.3%)"
宿泊,令和6年度,1年前,2024-09-28,土,133万円,162万円 (82.1%),162万円 (82.1%),130,161 (80.7%),161 (80.7%),"10,226","10,060 (101.7%)","10,060 (101.7%)"
宿泊,令和6年度,1年前,2024-09-29,日,275万円,182万円 (151.4%),182万円 (151.4%),243,182 (133.5%),182 (133.5%),"11,327","9,991 (113.4%)","9,991 (113.4%)"
宿泊,令和6年度,1年前,2024-09-30,月,126万円,115万円 (110.3%),115万円 (110.3%),120,113 (106.2%),113 (106.2%),"10,539","10,147 (103.9%)","10,147 (103.9%)"
宿泊,令和6年度,1年前,2024-10-01,火,85万円,110万円 (76.9%),110万円 (76.9%),80,103 (77.7%),103 (77.7%),"10,601","10,709 (99.0%)","10,709 (99.0%)"
宿泊,令和6年度,1年前,2024-10-02,水,74万円,71万円 (103.4%),71万円 (103.4%),85,77 (110.4%),77 (110.4%),"8,661","9,244 (93.7%)","9,244 (93.7%)"
宿泊,令和6年度,1年前,2024-10-03,木,136万円,71万円 (191.3%),71万円 (191.3%),147,80 (183.8%),80 (183.8%),"9,250","8,887 (104.1%)","8,887 (104.1%)"
宿泊,令和6年度,1年前,2024-10-04,金,126万円,149万円 (84.4%),149万円 (84.4%),133,177 (75.1%),177 (75.1%),"9,483","8,441 (112.3%)","8,441 (112.3%)"
宿泊,令和6年度,1年前,2024-10-05,土,195万円,187万円 (104.2%),187万円 (104.2%),194,189 (102.6%),189 (102.6%),"10,053","9,907 (101.5%)","9,907 (101.5%)"
宿泊,令和6年度,1年前,2024-10-06,日,228万円,323万円 (70.8%),323万円 (70.8%),228,258 (88.4%),258 (88.4%),"10,016","12,503 (80.1%)","12,503 (80.1%)"
宿泊,令和6年度,1年前,2024-10-07,月,102万円,336万円 (30.3%),336万円 (30.3%),91,326 (27.9%),326 (27.9%),"11,193","10,317 (108.5%)","10,317 (108.5%)"
宿泊,令和6年度,1年前,2024-10-08,火,78万円,118万円 (65.6%),118万円 (65.6%),90,108 (83.3%),108 (83.3%),"8,628","10,961 (78.7%)","10,961 (78.7%)"
宿泊,令和6年度,1年前,2024-10-09,水,132万円,135万円 (98.1%),135万円 (98.1%),131,129 (101.6%),129 (101.6%),"10,100","10,456 (96.6%)","10,456 (96.6%)"
宿泊,令和6年度,1年前,2024-10-10,木,138万円,84万円 (164.2%),84万円 (164.2%),129,102 (126.5%),102 (126.5%),"10,702","8,243 (129.8%)","8,243 (129.8%)"
宿泊,令和6年度,1年前,2024-10-11,金,188万円,172万円 (108.9%),172万円 (108.9%),193,181 (106.6%),181 (106.6%),"9,730","9,524 (102.2%)","9,524 (102.2%)"
宿泊,令和6年度,1年前,2024-10-12,土,196万円,147万円 (133.5%),147万円 (133.5%),206,146 (141.1%),146 (141.1%),"9,501","10,039 (94.6%)","10,039 (94.6%)"
宿泊,令和6年度,1年前,2024-10-13,日,389万円,287万円 (135.3%),287万円 (135.3%),319,253 (126.1%),253 (126.1%),"12,188","11,358 (107.3%)","11,358 (107.3%)"
宿泊,令和6年度,1年前,2024-10-14,月,373万円,114万円 (327.6%),114万円 (327.6%),317,109 (290.8%),109 (290.8%),"11,761","10,441 (112.6%)","10,441 (112.6%)"
宿泊,令和6年度,1年前,2024-10-15,火,181万円,104万円 (174.8%),104万円 (174.8%),146,98 (149.0%),98 (149.0%),"12,417","10,584 (117.3%)","10,584 (117.3%)"
宿泊,令和6年度,1年前,2024-10-16,水,96万円,142万円 (67.6%),142万円 (67.6%),96,154 (62.3%),154 (62.3%),"9,991","9,220 (108.4%)","9,220 (108.4%)"
宿泊,令和6年度,1年前,2024-10-17,木,107万円,120万円 (89.2%),120万円 (89.2%),104,130 (80.0%),130 (80.0%),"10,267","9,212 (111.5%)","9,212 (111.5%)"
宿泊,令和6年度,1年前,2024-10-18,金,222万円,149万円 (149.1%),149万円 (149.1%),196,157 (124.8%),157 (124.8%),"11,346","9,499 (119.4%)","9,499 (119.4%)"
宿泊,令和6年度,1年前,2024-10-19,土,229万円,202万円 (113.4%),202万円 (113.4%),200,170 (117.6%),170 (117.6%),"11,471","11,905 (96.4%)","11,905 (96.4%)"
宿泊,令和6年度,1年前,2024-10-20,日,266万円,279万円 (95.2%),279万円 (95.2%),245,254 (96.5%),254 (96.5%),"10,842","10,987 (98.7%)","10,987 (98.7%)"
宿泊,令和6年度,1年前,2024-10-21,月,120万円,141万円 (85.2%),141万円 (85.2%),98,115 (85.2%),115 (85.2%),"12,283","12,292 (99.9%)","12,292 (99.9%)"
宿泊,令和6年度,1年前,2024-10-22,火,90万円,113万円 (79.1%),113万円 (79.1%),104,113 (92.0%),113 (92.0%),"8,614","10,026 (85.9%)","10,026 (85.9%)"
宿泊,令和6年度,1年前,2024-10-23,水,108万円,129万円 (84.1%),129万円 (84.1%),105,144 (72.9%),144 (72.9%),"10,321","8,950 (115.3%)","8,950 (115.3%)"
宿泊,令和6年度,1年前,2024-10-24,木,137万円,109万円 (125.0%),109万円 (125.0%),129,116 (111.2%),116 (111.2%),"10,612","9,438 (112.4%)","9,438 (112.4%)"
宿泊,令和6年度,1年前,2024-10-25,金,248万円,217万円 (114.3%),217万円 (114.3%),227,250 (90.8%),250 (90.8%),"10,912","8,670 (125.8%)","8,670 (125.8%)"
宿泊,令和6年度,1年前,2024-10-26,土,205万円,177万円 (115.7%),177万円 (115.7%),180,188 (95.7%),188 (95.7%),"11,372","9,410 (120.8%)","9,410 (120.8%)"
宿泊,令和6年度,1年前,2024-10-27,日,375万円,294万円 (127.5%),294万円 (127.5%),313,268 (116.8%),268 (116.8%),"11,973","10,971 (109.1%)","10,971 (109.1%)"
宿泊,令和6年度,1年前,2024-10-28,月,183万円,124万円 (147.0%),124万円 (147.0%),146,108 (135.2%),108 (135.2%),"12,521","11,518 (108.7%)","11,518 (108.7%)"
宿泊,令和6年度,1年前,2024-10-29,火,123万円,110万円 (112.5%),110万円 (112.5%),129,119 (108.4%),119 (108.4%),"9,563","9,217 (103.8%)","9,217 (103.8%)"
宿泊,令和6年度,1年前,2024-10-30,水,146万円,146万円 (100.3%),146万円 (100.3%),125,158 (79.1%),158 (79.1%),"11,690","9,221 (126.8%)","9,221 (126.8%)"
宿泊,令和6年度,1年前,2024-10-31,木,152万円,148万円 (102.9%),148万円 (102.9%),160,171 (93.6%),171 (93.6%),"9,485","8,626 (109.9%)","8,626 (109.9%)"
宿泊,令和6年度,1年前,2024-11-01,金,145万円,189万円 (76.9%),189万円 (76.9%),146,166 (88.0%),166 (88.0%),"9,936","11,366 (87.4%)","11,366 (87.4%)"
宿泊,令和6年度,1年前,2024-11-02,土,203万円,348万円 (58.3%),348万円 (58.3%),178,289 (61.6%),289 (61.6%),"11,399","12,052 (94.6%)","12,052 (94.6%)"
宿泊,令和6年度,1年前,2024-11-03,日,376万円,290万円 (129.4%),290万円 (129.4%),296,272 (108.8%),272 (108.8%),"12,690","10,676 (118.9%)","10,676 (118.9%)"
宿泊,令和6年度,1年前,2024-11-04,月,361万円,128万円 (280.8%),128万円 (280.8%),324,116 (279.3%),116 (279.3%),"11,131","11,071 (100.5%)","11,071 (100.5%)"
宿泊,令和6年度,1年前,2024-11-05,火,184万円,134万円 (137.9%),134万円 (137.9%),157,135 (116.3%),135 (116.3%),"11,739","9,897 (118.6%)","9,897 (118.6%)"
宿泊,令和6年度,1年前,2024-11-06,水,111万円,128万円 (86.9%),128万円 (86.9%),113,130 (86.9%),130 (86.9%),"9,863","9,867 (100.0%)","9,867 (100.0%)"
宿泊,令和6年度,1年前,2024-11-07,木,105万円,127万円 (82.3%),127万円 (82.3%),116,165 (70.3%),165 (70.3%),"9,030","7,711 (117.1%)","7,711 (117.1%)"
宿泊,令和6年度,1年前,2024-11-08,金,184万円,179万円 (102.9%),179万円 (102.9%),209,194 (107.7%),194 (107.7%),"8,807","9,225 (95.5%)","9,225 (95.5%)"
宿泊,令和6年度,1年前,2024-11-09,土,153万円,174万円 (88.1%),174万円 (88.1%),136,164 (82.9%),164 (82.9%),"11,273","10,615 (106.2%)","10,615 (106.2%)"
宿泊,令和6年度,1年前,2024-11-10,日,290万円,257万円 (113.0%),257万円 (113.0%),233,265 (87.9%),265 (87.9%),"12,465","9,695 (128.6%)","9,695 (128.6%)"
宿泊,令和6年度,1年前,2024-11-11,月,147万円,86万円 (171.7%),86万円 (171.7%),122,83 (147.0%),83 (147.0%),"12,057","10,319 (116.8%)","10,319 (116.8%)"
宿泊,令和6年度,1年前,2024-11-12,火,138万円,98万円 (140.3%),98万円 (140.3%),138,102 (135.3%),102 (135.3%),"9,971","9,619 (103.7%)","9,619 (103.7%)"
宿泊,令和6年度,1年前,2024-11-13,水,170万円,129万円 (132.2%),129万円 (132.2%),161,133 (121.1%),133 (121.1%),"10,560","9,666 (109.2%)","9,666 (109.2%)"
宿泊,令和6年度,1年前,2024-11-14,木,157万円,146万円 (107.8%),146万円 (107.8%),178,161 (110.6%),161 (110.6%),"8,823","9,052 (97.5%)","9,052 (97.5%)"
宿泊,令和6年度,1年前,2024-11-15,金,169万円,186万円 (90.9%),186万円 (90.9%),198,221 (89.6%),221 (89.6%),"8,556","8,433 (101.5%)","8,433 (101.5%)"
宿泊,令和6年度,1年前,2024-11-16,土,222万円,226万円 (98.2%),226万円 (98.2%),217,220 (98.6%),220 (98.6%),"10,241","10,289 (99.5%)","10,289 (99.5%)"
宿泊,令和6年度,1年前,2024-11-17,日,374万円,227万円 (164.9%),227万円 (164.9%),301,187 (161.0%),187 (161.0%),"12,412","12,115 (102.5%)","12,115 (102.5%)"
宿泊,令和6年度,1年前,2024-11-18,月,110万円,85万円 (129.3%),85万円 (129.3%),74,91 (81.3%),91 (81.3%),"14,827","9,322 (159.0%)","9,322 (159.0%)"
宿泊,令和6年度,1年前,2024-11-19,火,88万円,105万円 (83.4%),105万円 (83.4%),101,107 (94.4%),107 (94.4%),"8,699","9,851 (88.3%)","9,851 (88.3%)"
宿泊,令和6年度,1年前,2024-11-20,水,120万円,132万円 (91.2%),132万円 (91.2%),124,161 (77.0%),161 (77.0%),"9,696","8,186 (118.4%)","8,186 (118.4%)"
宿泊,令和6年度,1年前,2024-11-21,木,147万円,113万円 (130.5%),113万円 (130.5%),144,101 (142.6%),101 (142.6%),"10,202","11,148 (91.5%)","11,148 (91.5%)"
宿泊,令和6年度,1年前,2024-11-22,金,200万円,164万円 (121.9%),164万円 (121.9%),234,154 (151.9%),154 (151.9%),"8,567","10,680 (80.2%)","10,680 (80.2%)"
宿泊,令和6年度,1年前,2024-11-23,土,166万円,197万円 (84.0%),197万円 (84.0%),147,208 (70.7%),208 (70.7%),"11,286","9,494 (118.9%)","9,494 (118.9%)"
宿泊,令和6年度,1年前,2024-11-24,日,307万円,271万円 (113.2%),271万円 (113.2%),231,227 (101.8%),227 (101.8%),"13,276","11,933 (111.3%)","11,933 (111.3%)"
宿泊,令和6年度,1年前,2024-11-25,月,138万円,78万円 (177.6%),78万円 (177.6%),110,67 (164.2%),67 (164.2%),"12,547","11,601 (108.1%)","11,601 (108.1%)"
宿泊,令和6年度,1年前,2024-11-26,火,93万円,95万円 (98.0%),95万円 (98.0%),100,107 (93.5%),107 (93.5%),"9,339","8,904 (104.9%)","8,904 (104.9%)"
宿泊,令和6年度,1年前,2024-11-27,水,122万円,79万円 (154.9%),79万円 (154.9%),116,94 (123.4%),94 (123.4%),"10,502","8,367 (125.5%)","8,367 (125.5%)"
宿泊,令和6年度,1年前,2024-11-28,木,184万円,82万円 (226.1%),82万円 (226.1%),189,104 (181.7%),104 (181.7%),"9,757","7,843 (124.4%)","7,843 (124.4%)"
宿泊,令和6年度,1年前,2024-11-29,金,218万円,134万円 (162.9%),134万円 (162.9%),246,155 (158.7%),155 (158.7%),"8,870","8,642 (102.6%)","8,642 (102.6%)"
宿泊,令和6年度,1年前,2024-11-30,土,139万円,79万円 (176.3%),79万円 (176.3%),154,105 (146.7%),105 (146.7%),"9,027","7,512 (120.2%)","7,512 (120.2%)"
宿泊,令和6年度,1年前,2024-12-01,日,289万円,155万円 (186.7%),155万円 (186.7%),215,130 (165.4%),130 (165.4%),"13,451","11,916 (112.9%)","11,916 (112.9%)"
宿泊,令和6年度,1年前,2024-12-02,月,66万円,52万円 (128.2%),52万円 (128.2%),48,43 (111.6%),43 (111.6%),"13,840","12,047 (114.9%)","12,047 (114.9%)"
宿泊,令和6年度,1年前,2024-12-03,火,37万円,88万円 (41.7%),88万円 (41.7%),39,103 (37.9%),103 (37.9%),"9,447","8,580 (110.1%)","8,580 (110.1%)"
宿泊,令和6年度,1年前,2024-12-04,水,94万円,99万円 (94.7%),99万円 (94.7%),109,112 (97.3%),112 (97.3%),"8,636","8,875 (97.3%)","8,875 (97.3%)"
宿泊,令和6年度,1年前,2024-12-05,木,107万円,81万円 (132.3%),81万円 (132.3%),131,104 (126.0%),104 (126.0%),"8,183","7,792 (105.0%)","7,792 (105.0%)"
宿泊,令和6年度,1年前,2024-12-06,金,138万円,151万円 (91.6%),151万円 (91.6%),157,180 (87.2%),180 (87.2%),"8,782","8,362 (105.0%)","8,362 (105.0%)"
宿泊,令和6年度,1年前,2024-12-07,土,120万円,141万円 (85.3%),141万円 (85.3%),106,119 (89.1%),119 (89.1%),"11,367","11,869 (95.8%)","11,869 (95.8%)"
宿泊,令和6年度,1年前,2024-12-08,日,255万円,217万円 (117.6%),217万円 (117.6%),190,180 (105.6%),180 (105.6%),"13,420","12,050 (111.4%)","12,050 (111.4%)"
宿泊,令和6年度,1年前,2024-12-09,月,66万円,103万円 (64.4%),103万円 (64.4%),54,78 (69.2%),78 (69.2%),"12,313","13,245 (93.0%)","13,245 (93.0%)"
宿泊,令和6年度,1年前,2024-12-10,火,82万円,88万円 (93.6%),88万円 (93.6%),92,97 (94.8%),97 (94.8%),"8,939","9,057 (98.7%)","9,057 (98.7%)"
宿泊,令和6年度,1年前,2024-12-11,水,112万円,88万円 (127.2%),88万円 (127.2%),108,95 (113.7%),95 (113.7%),"10,359","9,256 (111.9%)","9,256 (111.9%)"
宿泊,令和6年度,1年前,2024-12-12,木,89万円,94万円 (95.2%),94万円 (95.2%),107,113 (94.7%),113 (94.7%),"8,363","8,321 (100.5%)","8,321 (100.5%)"
宿泊,令和6年度,1年前,2024-12-13,金,141万円,144万円 (98.1%),144万円 (98.1%),168,188 (89.4%),188 (89.4%),"8,403","7,656 (109.7%)","7,656 (109.7%)"
宿泊,令和6年度,1年前,2024-12-14,土,151万円,101万円 (150.0%),101万円 (150.0%),158,110 (143.6%),110 (143.6%),"9,551","9,144 (104.5%)","9,144 (104.5%)"
宿泊,令和6年度,1年前,2024-12-15,日,196万円,158万円 (124.4%),158万円 (124.4%),166,113 (146.9%),113 (146.9%),"11,836","13,973 (84.7%)","13,973 (84.7%)"
宿泊,令和6年度,1年前,2024-12-16,月,89万円,40万円 (220.2%),40万円 (220.2%),79,39 (202.6%),39 (202.6%),"11,285","10,382 (108.7%)","10,382 (108.7%)"
宿泊,令和6年度,1年前,2024-12-17,火,83万円,90万円 (93.1%),90万円 (93.1%),100,84 (119.0%),84 (119.0%),"8,347","10,676 (78.2%)","10,676 (78.2%)"
宿泊,令和6年度,1年前,2024-12-18,水,87万円,97万円 (89.6%),97万円 (89.6%),95,121 (78.5%),121 (78.5%),"9,170","8,036 (114.1%)","8,036 (114.1%)"
宿泊,令和6年度,1年前,2024-12-19,木,105万円,55万円 (190.0%),55万円 (190.0%),128,71 (180.3%),71 (180.3%),"8,190","7,770 (105.4%)","7,770 (105.4%)"
宿泊,令和6年度,1年前,2024-12-20,金,155万円,105万円 (146.6%),105万円 (146.6%),202,140 (144.3%),140 (144.3%),"7,657","7,535 (101.6%)","7,535 (101.6%)"
宿泊,令和6年度,1年前,2024-12-21,土,113万円,133万円 (84.8%),133万円 (84.8%),132,140 (94.3%),140 (94.3%),"8,524","9,476 (90.0%)","9,476 (90.0%)"
宿泊,令和6年度,1年前,2024-12-22,日,233万円,125万円 (186.4%),125万円 (186.4%),179,105 (170.5%),105 (170.5%),"12,992","11,884 (109.3%)","11,884 (109.3%)"
宿泊,令和6年度,1年前,2024-12-23,月,83万円,76万円 (109.7%),76万円 (109.7%),69,70 (98.6%),70 (98.6%),"12,020","10,802 (111.3%)","10,802 (111.3%)"
宿泊,令和6年度,1年前,2024-12-24,火,69万円,106万円 (65.5%),106万円 (65.5%),78,95 (82.1%),95 (82.1%),"8,890","11,140 (79.8%)","11,140 (79.8%)"
宿泊,令和6年度,1年前,2024-12-25,水,69万円,114万円 (61.0%),114万円 (61.0%),82,110 (74.5%),110 (74.5%),"8,463","10,346 (81.8%)","10,346 (81.8%)"
宿泊,令和6年度,1年前,2024-12-26,木,90万円,31万円 (294.2%),31万円 (294.2%),88,44 (200.0%),44 (200.0%),"10,266","6,980 (147.1%)","6,980 (147.1%)"
宿泊,令和6年度,1年前,2024-12-27,金,112万円,121万円 (91.9%),121万円 (91.9%),129,121 (106.6%),121 (106.6%),"8,653","10,037 (86.2%)","10,037 (86.2%)"
宿泊,令和6年度,1年前,2024-12-28,土,76万円,207万円 (36.8%),207万円 (36.8%),77,170 (45.3%),170 (45.3%),"9,885","12,183 (81.1%)","12,183 (81.1%)"
宿泊,令和6年度,1年前,2024-12-29,日,252万円,289万円 (87.0%),289万円 (87.0%),188,207 (90.8%),207 (90.8%),"13,379","13,965 (95.8%)","13,965 (95.8%)"
宿泊,令和6年度,1年前,2024-12-30,月,320万円,259万円 (123.5%),259万円 (123.5%),240,177 (135.6%),177 (135.6%),"13,316","14,618 (91.1%)","14,618 (91.1%)"
宿泊,令和6年度,1年前,2024-12-31,火,320万円,269万円 (118.9%),269万円 (118.9%),220,170 (129.4%),170 (129.4%),"14,541","15,820 (91.9%)","15,820 (91.9%)"
宿泊,令和6年度,1年前,2025-01-01,水,322万円,209万円 (153.8%),209万円 (153.8%),188,147 (127.9%),147 (127.9%),"17,114","14,230 (120.3%)","14,230 (120.3%)"
宿泊,令和6年度,1年前,2025-01-02,木,275万円,176万円 (156.1%),176万円 (156.1%),172,155 (111.0%),155 (111.0%),"16,002","11,372 (140.7%)","11,372 (140.7%)"
宿泊,令和6年度,1年前,2025-01-03,金,238万円,111万円 (213.5%),111万円 (213.5%),179,85 (210.6%),85 (210.6%),"13,273","13,090 (101.4%)","13,090 (101.4%)"
宿泊,令和6年度,1年前,2025-01-04,土,254万円,54万円 (468.1%),54万円 (468.1%),194,55 (352.7%),55 (352.7%),"13,068","9,848 (132.7%)","9,848 (132.7%)"
宿泊,令和6年度,1年前,2025-01-05,日,173万円,169万円 (102.2%),169万円 (102.2%),120,128 (93.8%),128 (93.8%),"14,381","13,188 (109.0%)","13,188 (109.0%)"
