start_date,end_date,dayflag,ranking,fromaddress,all_population,area_id,area_name,population,residence,residence_population_rate
20251011,20251011,休日,1,山形県米沢市春日,1876,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),1876,2501,0.75
20251011,20251011,休日,2,山形県米沢市塩井町　塩野,1630,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),1630,2434,0.67
20251011,20251011,休日,3,山形県米沢市通町,1046,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),1046,3886,0.269
20251011,20251011,休日,4,山形県米沢市徳町,923,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),923,1125,0.821
20251011,20251011,休日,4,山形県米沢市中央,923,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),923,2731,0.338
20251011,20251011,休日,5,山形県米沢市御廟,892,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),892,2177,0.41
20251011,20251011,休日,6,山形県米沢市窪田町　窪田,708,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),708,2427,0.291
20251011,20251011,休日,6,山形県米沢市成島町,708,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),708,2283,0.31
20251011,20251011,休日,7,山形県米沢市城西,646,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),646,2163,0.299
20251011,20251011,休日,8,山形県米沢市林泉寺,616,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),616,1873,0.328
20251011,20251011,休日,9,山形県東置賜郡川西町大字上小松,602,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),602,3695,0.163
20251011,20251011,休日,10,山形県米沢市中田町,554,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),554,2015,0.275
20251011,20251011,休日,11,山形県東置賜郡高畠町大字高畠,494,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),494,3626,0.136
20251011,20251011,休日,12,山形県米沢市矢来,462,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),462,1283,0.359
20251011,20251011,休日,13,山形県米沢市大町,431,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),431,1546,0.279
