start_date,end_date,dayflag,area_id,area_name,residence_flg,rate
20250911,20250913,休日,03b9354d-5d12-4fd0-8eba-080313d62215,平山孫兵衛商店,[1].同市区町村,0.754
20250911,20250913,休日,03b9354d-5d12-4fd0-8eba-080313d62215,平山孫兵衛商店,[2].同都道府県,0.0
20250911,20250913,休日,03b9354d-5d12-4fd0-8eba-080313d62215,平山孫兵衛商店,[3].その他,0.246
20250911,20250913,平日,03b9354d-5d12-4fd0-8eba-080313d62215,平山孫兵衛商店,[1].同市区町村,0.754
20250911,20250913,平日,03b9354d-5d12-4fd0-8eba-080313d62215,平山孫兵衛商店,[2].同都道府県,0.246
20250911,20250913,平日,03b9354d-5d12-4fd0-8eba-080313d62215,平山孫兵衛商店,[3].その他,0.0
20250911,20250913,休日,1648f132-8957-4fcc-b56f-7fa74054ff8b,酒蔵資料館東光の酒蔵,[1].同市区町村,0.557
20250911,20250913,休日,1648f132-8957-4fcc-b56f-7fa74054ff8b,酒蔵資料館東光の酒蔵,[2].同都道府県,0.0
20250911,20250913,休日,1648f132-8957-4fcc-b56f-7fa74054ff8b,酒蔵資料館東光の酒蔵,[3].その他,0.443
20250911,20250913,平日,1648f132-8957-4fcc-b56f-7fa74054ff8b,酒蔵資料館東光の酒蔵,[1].同市区町村,0.6
20250911,20250913,平日,1648f132-8957-4fcc-b56f-7fa74054ff8b,酒蔵資料館東光の酒蔵,[2].同都道府県,0.099
20250911,20250913,平日,1648f132-8957-4fcc-b56f-7fa74054ff8b,酒蔵資料館東光の酒蔵,[3].その他,0.301
20250911,20250913,休日,1690fa74-b29e-4696-a623-81c5fc4bf363,Nitorito,[1].同市区町村,0.564
20250911,20250913,休日,1690fa74-b29e-4696-a623-81c5fc4bf363,Nitorito,[2].同都道府県,0.298
20250911,20250913,休日,1690fa74-b29e-4696-a623-81c5fc4bf363,Nitorito,[3].その他,0.138
20250911,20250913,平日,1690fa74-b29e-4696-a623-81c5fc4bf363,Nitorito,[1].同市区町村,1.0
20250911,20250913,平日,1690fa74-b29e-4696-a623-81c5fc4bf363,Nitorito,[2].同都道府県,0.0
20250911,20250913,平日,1690fa74-b29e-4696-a623-81c5fc4bf363,Nitorito,[3].その他,0.0
20250911,20250913,休日,20c39cf9-d958-40b6-bb7f-ab0c801cae60,米沢織物直売所おりじん,[1].同市区町村,0.819
20250911,20250913,休日,20c39cf9-d958-40b6-bb7f-ab0c801cae60,米沢織物直売所おりじん,[2].同都道府県,0.181
20250911,20250913,休日,20c39cf9-d958-40b6-bb7f-ab0c801cae60,米沢織物直売所おりじん,[3].その他,0.0
20250911,20250913,平日,20c39cf9-d958-40b6-bb7f-ab0c801cae60,米沢織物直売所おりじん,[1].同市区町村,1.0
20250911,20250913,平日,20c39cf9-d958-40b6-bb7f-ab0c801cae60,米沢織物直売所おりじん,[2].同都道府県,0.0
20250911,20250913,平日,20c39cf9-d958-40b6-bb7f-ab0c801cae60,米沢織物直売所おりじん,[3].その他,0.0
20250911,20250913,休日,22ede8ba-43c3-4adb-89fe-374b2dd192dd,株式会社 川島印刷,[1].同市区町村,0.0
