start_date,end_date,dayflag,area_id,area_name,residence_dist_flg,rate
20250911,20250913,平日,1690fa74-b29e-4696-a623-81c5fc4bf363,Nitorito,[6].〜30km圏,0.0
20250911,20250913,平日,1690fa74-b29e-4696-a623-81c5fc4bf363,Nitorito,[7].〜50km圏,0.0
20250911,20250913,平日,1690fa74-b29e-4696-a623-81c5fc4bf363,Nitorito,[8].〜100km圏,0.0
20250911,20250913,平日,1690fa74-b29e-4696-a623-81c5fc4bf363,Nitorito,[9].100km圏〜,0.0
20250911,20250913,休日,20c39cf9-d958-40b6-bb7f-ab0c801cae60,米沢織物直売所おりじん,[1].〜500m圏,0.091
20250911,20250913,休日,20c39cf9-d958-40b6-bb7f-ab0c801cae60,米沢織物直売所おりじん,[2].〜1km圏,0.091
20250911,20250913,休日,20c39cf9-d958-40b6-bb7f-ab0c801cae60,米沢織物直売所おりじん,[3].〜3km圏,0.546
20250911,20250913,休日,20c39cf9-d958-40b6-bb7f-ab0c801cae60,米沢織物直売所おりじん,[4].〜5km圏,0.091
20250911,20250913,休日,20c39cf9-d958-40b6-bb7f-ab0c801cae60,米沢織物直売所おりじん,[5].〜10km圏,0.0
20250911,20250913,休日,20c39cf9-d958-40b6-bb7f-ab0c801cae60,米沢織物直売所おりじん,[6].〜30km圏,0.181
20250911,20250913,休日,20c39cf9-d958-40b6-bb7f-ab0c801cae60,米沢織物直売所おりじん,[7].〜50km圏,0.0
20250911,20250913,休日,20c39cf9-d958-40b6-bb7f-ab0c801cae60,米沢織物直売所おりじん,[8].〜100km圏,0.0
20250911,20250913,休日,20c39cf9-d958-40b6-bb7f-ab0c801cae60,米沢織物直売所おりじん,[9].100km圏〜,0.0
20250911,20250913,平日,20c39cf9-d958-40b6-bb7f-ab0c801cae60,米沢織物直売所おりじん,[1].〜500m圏,0.0
20250911,20250913,平日,20c39cf9-d958-40b6-bb7f-ab0c801cae60,米沢織物直売所おりじん,[2].〜1km圏,0.0
20250911,20250913,平日,20c39cf9-d958-40b6-bb7f-ab0c801cae60,米沢織物直売所おりじん,[3].〜3km圏,1.0
20250911,20250913,平日,20c39cf9-d958-40b6-bb7f-ab0c801cae60,米沢織物直売所おりじん,[4].〜5km圏,0.0
20250911,20250913,平日,20c39cf9-d958-40b6-bb7f-ab0c801cae60,米沢織物直売所おりじん,[5].〜10km圏,0.0
20250911,20250913,平日,20c39cf9-d958-40b6-bb7f-ab0c801cae60,米沢織物直売所おりじん,[6].〜30km圏,0.0
20250911,20250913,平日,20c39cf9-d958-40b6-bb7f-ab0c801cae60,米沢織物直売所おりじん,[7].〜50km圏,0.0
20250911,20250913,平日,20c39cf9-d958-40b6-bb7f-ab0c801cae60,米沢織物直売所おりじん,[8].〜100km圏,0.0
20250911,20250913,平日,20c39cf9-d958-40b6-bb7f-ab0c801cae60,米沢織物直売所おりじん,[9].100km圏〜,0.0
20250911,20250913,休日,22ede8ba-43c3-4adb-89fe-374b2dd192dd,株式会社 川島印刷,[1].〜500m圏,0.0
20250911,20250913,休日,22ede8ba-43c3-4adb-89fe-374b2dd192dd,株式会社 川島印刷,[2].〜1km圏,0.0
20250911,20250913,休日,22ede8ba-43c3-4adb-89fe-374b2dd192dd,株式会社 川島印刷,[3].〜3km圏,0.0
20250911,20250913,休日,22ede8ba-43c3-4adb-89fe-374b2dd192dd,株式会社 川島印刷,[4].〜5km圏,0.0
20250911,20250913,休日,22ede8ba-43c3-4adb-89fe-374b2dd192dd,株式会社 川島印刷,[5].〜10km圏,0.0
20250911,20250913,休日,22ede8ba-43c3-4adb-89fe-374b2dd192dd,株式会社 川島印刷,[6].〜30km圏,0.53
20250911,20250913,休日,22ede8ba-43c3-4adb-89fe-374b2dd192dd,株式会社 川島印刷,[7].〜50km圏,0.0
20250911,20250913,休日,22ede8ba-43c3-4adb-89fe-374b2dd192dd,株式会社 川島印刷,[8].〜100km圏,0.47
20250911,20250913,休日,22ede8ba-43c3-4adb-89fe-374b2dd192dd,株式会社 川島印刷,[9].100km圏〜,0.0
20250911,20250913,平日,22ede8ba-43c3-4adb-89fe-374b2dd192dd,株式会社 川島印刷,[1].〜500m圏,0.0
20250911,20250913,平日,22ede8ba-43c3-4adb-89fe-374b2dd192dd,株式会社 川島印刷,[2].〜1km圏,0.0
20250911,20250913,平日,22ede8ba-43c3-4adb-89fe-374b2dd192dd,株式会社 川島印刷,[3].〜3km圏,0.547
20250911,20250913,平日,22ede8ba-43c3-4adb-89fe-374b2dd192dd,株式会社 川島印刷,[4].〜5km圏,0.0
20250911,20250913,平日,22ede8ba-43c3-4adb-89fe-374b2dd192dd,株式会社 川島印刷,[5].〜10km圏,0.0
20250911,20250913,平日,22ede8ba-43c3-4adb-89fe-374b2dd192dd,株式会社 川島印刷,[6].〜30km圏,0.27
20250911,20250913,平日,22ede8ba-43c3-4adb-89fe-374b2dd192dd,株式会社 川島印刷,[7].〜50km圏,0.0
20250911,20250913,平日,22ede8ba-43c3-4adb-89fe-374b2dd192dd,株式会社 川島印刷,[8].〜100km圏,0.0
20250911,20250913,平日,22ede8ba-43c3-4adb-89fe-374b2dd192dd,株式会社 川島印刷,[9].100km圏〜,0.183
20250911,20250913,休日,2c092d10-6bc6-475b-97b0-dcd8e410c819,株式会社 アイタ工業,[1].〜500m圏,0.0
20250911,20250913,休日,2c092d10-6bc6-475b-97b0-dcd8e410c819,株式会社 アイタ工業,[2].〜1km圏,0.0
20250911,20250913,休日,2c092d10-6bc6-475b-97b0-dcd8e410c819,株式会社 アイタ工業,[3].〜3km圏,0.0
20250911,20250913,休日,2c092d10-6bc6-475b-97b0-dcd8e410c819,株式会社 アイタ工業,[4].〜5km圏,0.0
20250911,20250913,休日,2c092d10-6bc6-475b-97b0-dcd8e410c819,株式会社 アイタ工業,[5].〜10km圏,0.0
20250911,20250913,休日,2c092d10-6bc6-475b-97b0-dcd8e410c819,株式会社 アイタ工業,[6].〜30km圏,0.0
20250911,20250913,休日,2c092d10-6bc6-475b-97b0-dcd8e410c819,株式会社 アイタ工業,[7].〜50km圏,0.523
20250911,20250913,休日,2c092d10-6bc6-475b-97b0-dcd8e410c819,株式会社 アイタ工業,[8].〜100km圏,0.0
20250911,20250913,休日,2c092d10-6bc6-475b-97b0-dcd8e410c819,株式会社 アイタ工業,[9].100km圏〜,0.477
20250911,20250913,平日,2c092d10-6bc6-475b-97b0-dcd8e410c819,株式会社 アイタ工業,[1].〜500m圏,0.0
20250911,20250913,平日,2c092d10-6bc6-475b-97b0-dcd8e410c819,株式会社 アイタ工業,[2].〜1km圏,0.0
20250911,20250913,平日,2c092d10-6bc6-475b-97b0-dcd8e410c819,株式会社 アイタ工業,[3].〜3km圏,0.32
20250911,20250913,平日,2c092d10-6bc6-475b-97b0-dcd8e410c819,株式会社 アイタ工業,[4].〜5km圏,0.322
20250911,20250913,平日,2c092d10-6bc6-475b-97b0-dcd8e410c819,株式会社 アイタ工業,[5].〜10km圏,0.358
20250911,20250913,平日,2c092d10-6bc6-475b-97b0-dcd8e410c819,株式会社 アイタ工業,[6].〜30km圏,0.0
20250911,20250913,平日,2c092d10-6bc6-475b-97b0-dcd8e410c819,株式会社 アイタ工業,[7].〜50km圏,0.0
20250911,20250913,平日,2c092d10-6bc6-475b-97b0-dcd8e410c819,株式会社 アイタ工業,[8].〜100km圏,0.0
20250911,20250913,平日,2c092d10-6bc6-475b-97b0-dcd8e410c819,株式会社 アイタ工業,[9].100km圏〜,0.0
20250911,20250913,休日,2fef90f8-7322-4901-8ea2-a82ba9fac4bf,行方織物有限会社,[1].〜500m圏,0.75
20250911,20250913,休日,2fef90f8-7322-4901-8ea2-a82ba9fac4bf,行方織物有限会社,[2].〜1km圏,0.0
20250911,20250913,休日,2fef90f8-7322-4901-8ea2-a82ba9fac4bf,行方織物有限会社,[3].〜3km圏,0.0
20250911,20250913,休日,2fef90f8-7322-4901-8ea2-a82ba9fac4bf,行方織物有限会社,[4].〜5km圏,0.25
20250911,20250913,休日,2fef90f8-7322-4901-8ea2-a82ba9fac4bf,行方織物有限会社,[5].〜10km圏,0.0
20250911,20250913,休日,2fef90f8-7322-4901-8ea2-a82ba9fac4bf,行方織物有限会社,[6].〜30km圏,0.0
20250911,20250913,休日,2fef90f8-7322-4901-8ea2-a82ba9fac4bf,行方織物有限会社,[7].〜50km圏,0.0
20250911,20250913,休日,2fef90f8-7322-4901-8ea2-a82ba9fac4bf,行方織物有限会社,[8].〜100km圏,0.0
20250911,20250913,休日,2fef90f8-7322-4901-8ea2-a82ba9fac4bf,行方織物有限会社,[9].100km圏〜,0.0
20250911,20250913,平日,2fef90f8-7322-4901-8ea2-a82ba9fac4bf,行方織物有限会社,[1].〜500m圏,0.833
20250911,20250913,平日,2fef90f8-7322-4901-8ea2-a82ba9fac4bf,行方織物有限会社,[2].〜1km圏,0.0
20250911,20250913,平日,2fef90f8-7322-4901-8ea2-a82ba9fac4bf,行方織物有限会社,[3].〜3km圏,0.167
20250911,20250913,平日,2fef90f8-7322-4901-8ea2-a82ba9fac4bf,行方織物有限会社,[4].〜5km圏,0.0
20250911,20250913,平日,2fef90f8-7322-4901-8ea2-a82ba9fac4bf,行方織物有限会社,[5].〜10km圏,0.0
20250911,20250913,平日,2fef90f8-7322-4901-8ea2-a82ba9fac4bf,行方織物有限会社,[6].〜30km圏,0.0
20250911,20250913,平日,2fef90f8-7322-4901-8ea2-a82ba9fac4bf,行方織物有限会社,[7].〜50km圏,0.0
20250911,20250913,平日,2fef90f8-7322-4901-8ea2-a82ba9fac4bf,行方織物有限会社,[8].〜100km圏,0.0
20250911,20250913,平日,2fef90f8-7322-4901-8ea2-a82ba9fac4bf,行方織物有限会社,[9].100km圏〜,0.0
