start_date,end_date,dayflag,area_id,area_name,gender,rate
20250911,20250913,休日,03b9354d-5d12-4fd0-8eba-080313d62215,平山孫兵衛商店,男性,0.0
20250911,20250913,休日,03b9354d-5d12-4fd0-8eba-080313d62215,平山孫兵衛商店,女性,1.0
20250911,20250913,平日,03b9354d-5d12-4fd0-8eba-080313d62215,平山孫兵衛商店,男性,0.539
20250911,20250913,平日,03b9354d-5d12-4fd0-8eba-080313d62215,平山孫兵衛商店,女性,0.461
20250911,20250913,休日,1648f132-8957-4fcc-b56f-7fa74054ff8b,酒蔵資料館東光の酒蔵,男性,0.459
20250911,20250913,休日,1648f132-8957-4fcc-b56f-7fa74054ff8b,酒蔵資料館東光の酒蔵,女性,0.541
20250911,20250913,平日,1648f132-8957-4fcc-b56f-7fa74054ff8b,酒蔵資料館東光の酒蔵,男性,0.0
20250911,20250913,平日,1648f132-8957-4fcc-b56f-7fa74054ff8b,酒蔵資料館東光の酒蔵,女性,1.0
20250911,20250913,休日,1690fa74-b29e-4696-a623-81c5fc4bf363,Nitorito,男性,0.524
20250911,20250913,休日,1690fa74-b29e-4696-a623-81c5fc4bf363,Nitorito,女性,0.476
20250911,20250913,平日,1690fa74-b29e-4696-a623-81c5fc4bf363,Nitorito,男性,0.503
20250911,20250913,平日,1690fa74-b29e-4696-a623-81c5fc4bf363,Nitorito,女性,0.497
20250911,20250913,休日,20c39cf9-d958-40b6-bb7f-ab0c801cae60,米沢織物直売所おりじん,男性,0.242
20250911,20250913,休日,20c39cf9-d958-40b6-bb7f-ab0c801cae60,米沢織物直売所おりじん,女性,0.758
20250911,20250913,平日,20c39cf9-d958-40b6-bb7f-ab0c801cae60,米沢織物直売所おりじん,男性,0.636
20250911,20250913,平日,20c39cf9-d958-40b6-bb7f-ab0c801cae60,米沢織物直売所おりじん,女性,0.364
20250911,20250913,休日,22ede8ba-43c3-4adb-89fe-374b2dd192dd,株式会社 川島印刷,男性,0.396
20250911,20250913,休日,22ede8ba-43c3-4adb-89fe-374b2dd192dd,株式会社 川島印刷,女性,0.604
20250911,20250913,平日,22ede8ba-43c3-4adb-89fe-374b2dd192dd,株式会社 川島印刷,男性,0.76
20250911,20250913,平日,22ede8ba-43c3-4adb-89fe-374b2dd192dd,株式会社 川島印刷,女性,0.24
20250911,20250913,休日,2c092d10-6bc6-475b-97b0-dcd8e410c819,株式会社 アイタ工業,男性,1.0
20250911,20250913,休日,2c092d10-6bc6-475b-97b0-dcd8e410c819,株式会社 アイタ工業,女性,0.0
20250911,20250913,平日,2c092d10-6bc6-475b-97b0-dcd8e410c819,株式会社 アイタ工業,男性,1.0
20250911,20250913,平日,2c092d10-6bc6-475b-97b0-dcd8e410c819,株式会社 アイタ工業,女性,0.0
20250911,20250913,休日,2fef90f8-7322-4901-8ea2-a82ba9fac4bf,行方織物有限会社,男性,0.576
20250911,20250913,休日,2fef90f8-7322-4901-8ea2-a82ba9fac4bf,行方織物有限会社,女性,0.424
20250911,20250913,平日,2fef90f8-7322-4901-8ea2-a82ba9fac4bf,行方織物有限会社,男性,0.314
20250911,20250913,平日,2fef90f8-7322-4901-8ea2-a82ba9fac4bf,行方織物有限会社,女性,0.686
20250911,20250913,休日,303f7e2b-f126-4a6e-834c-417a49036134,カワサキ印刷,男性,0.0
20250911,20250913,休日,303f7e2b-f126-4a6e-834c-417a49036134,カワサキ印刷,女性,0.0
20250911,20250913,平日,303f7e2b-f126-4a6e-834c-417a49036134,カワサキ印刷,男性,0.195
20250911,20250913,平日,303f7e2b-f126-4a6e-834c-417a49036134,カワサキ印刷,女性,0.805
20250911,20250913,休日,3c83f1cd-f8e0-4442-bd52-24e86de8ca2a,香坂酒造(株),男性,0.0
20250911,20250913,休日,3c83f1cd-f8e0-4442-bd52-24e86de8ca2a,香坂酒造(株),女性,1.0
20250911,20250913,平日,3c83f1cd-f8e0-4442-bd52-24e86de8ca2a,香坂酒造(株),男性,0.0
20250911,20250913,平日,3c83f1cd-f8e0-4442-bd52-24e86de8ca2a,香坂酒造(株),女性,1.0
20250911,20250913,休日,52b700b4-2cff-416e-8f67-35f70af46323,粟野商事JUYOKAN,男性,0.603
20250911,20250913,休日,52b700b4-2cff-416e-8f67-35f70af46323,粟野商事JUYOKAN,女性,0.397
20250911,20250913,平日,52b700b4-2cff-416e-8f67-35f70af46323,粟野商事JUYOKAN,男性,0.178
20250911,20250913,平日,52b700b4-2cff-416e-8f67-35f70af46323,粟野商事JUYOKAN,女性,0.822
20250911,20250913,休日,648588bf-1006-4aa6-aba9-e70aabb0d1a3,東北整練株式会社,男性,0.0
20250911,20250913,休日,648588bf-1006-4aa6-aba9-e70aabb0d1a3,東北整練株式会社,女性,0.0
20250911,20250913,平日,648588bf-1006-4aa6-aba9-e70aabb0d1a3,東北整練株式会社,男性,0.731
20250911,20250913,平日,648588bf-1006-4aa6-aba9-e70aabb0d1a3,東北整練株式会社,女性,0.269
20250911,20250913,休日,720ba512-24d3-4273-a176-173afacc6c96,紅花染新田,男性,0.22
20250911,20250913,休日,720ba512-24d3-4273-a176-173afacc6c96,紅花染新田,女性,0.78
20250911,20250913,平日,720ba512-24d3-4273-a176-173afacc6c96,紅花染新田,男性,0.0
20250911,20250913,平日,720ba512-24d3-4273-a176-173afacc6c96,紅花染新田,女性,1.0
20250911,20250913,休日,895e3ec4-d54c-4843-aab5-54abd1cc4741,株式会社パルコモード,男性,0.0
20250911,20250913,休日,895e3ec4-d54c-4843-aab5-54abd1cc4741,株式会社パルコモード,女性,1.0
20250911,20250913,平日,895e3ec4-d54c-4843-aab5-54abd1cc4741,株式会社パルコモード,男性,0.122
20250911,20250913,平日,895e3ec4-d54c-4843-aab5-54abd1cc4741,株式会社パルコモード,女性,0.878
20250911,20250913,休日,8ffa0f24-0c12-4e51-b663-14cf90925834,山口織物鷹山堂,男性,0.0
20250911,20250913,休日,8ffa0f24-0c12-4e51-b663-14cf90925834,山口織物鷹山堂,女性,1.0
20250911,20250913,平日,8ffa0f24-0c12-4e51-b663-14cf90925834,山口織物鷹山堂,男性,0.0
20250911,20250913,平日,8ffa0f24-0c12-4e51-b663-14cf90925834,山口織物鷹山堂,女性,1.0
20250911,20250913,休日,9145ad6a-0acc-49e5-a9d6-ebd89071cc48,東光小嶋総本店,男性,0.251
20250911,20250913,休日,9145ad6a-0acc-49e5-a9d6-ebd89071cc48,東光小嶋総本店,女性,0.749
20250911,20250913,平日,9145ad6a-0acc-49e5-a9d6-ebd89071cc48,東光小嶋総本店,男性,0.629
20250911,20250913,平日,9145ad6a-0acc-49e5-a9d6-ebd89071cc48,東光小嶋総本店,女性,0.371
20250911,20250913,休日,9d4dcc83-dfab-4bb7-a75d-f93f296a0910,染織工房わくわく館,男性,0.0
20250911,20250913,休日,9d4dcc83-dfab-4bb7-a75d-f93f296a0910,染織工房わくわく館,女性,0.0
20250911,20250913,平日,9d4dcc83-dfab-4bb7-a75d-f93f296a0910,染織工房わくわく館,男性,0.0
20250911,20250913,平日,9d4dcc83-dfab-4bb7-a75d-f93f296a0910,染織工房わくわく館,女性,1.0
20250911,20250913,休日,a19d7e33-2ffe-440f-a804-4b2e1f64ec8c,シルキーリビング,男性,0.0
20250911,20250913,休日,a19d7e33-2ffe-440f-a804-4b2e1f64ec8c,シルキーリビング,女性,0.0
20250911,20250913,平日,a19d7e33-2ffe-440f-a804-4b2e1f64ec8c,シルキーリビング,男性,0.293
20250911,20250913,平日,a19d7e33-2ffe-440f-a804-4b2e1f64ec8c,シルキーリビング,女性,0.707
20250911,20250913,休日,a3948ebd-868e-4967-a7cc-f98b17647d49,株式会社ニューテックシンセイ,男性,0.0
20250911,20250913,休日,a3948ebd-868e-4967-a7cc-f98b17647d49,株式会社ニューテックシンセイ,女性,0.0
20250911,20250913,平日,a3948ebd-868e-4967-a7cc-f98b17647d49,株式会社ニューテックシンセイ,男性,0.683
20250911,20250913,平日,a3948ebd-868e-4967-a7cc-f98b17647d49,株式会社ニューテックシンセイ,女性,0.317
20250911,20250913,休日,a52b699b-5974-409c-80c3-89602d727115,花角味噌醸造,男性,0.447
20250911,20250913,休日,a52b699b-5974-409c-80c3-89602d727115,花角味噌醸造,女性,0.553
20250911,20250913,平日,a52b699b-5974-409c-80c3-89602d727115,花角味噌醸造,男性,0.0
20250911,20250913,平日,a52b699b-5974-409c-80c3-89602d727115,花角味噌醸造,女性,1.0
20250911,20250913,休日,bb343774-fa46-4eeb-853c-0198a8857e40,近賢織物,男性,0.0
20250911,20250913,休日,bb343774-fa46-4eeb-853c-0198a8857e40,近賢織物,女性,1.0
20250911,20250913,平日,bb343774-fa46-4eeb-853c-0198a8857e40,近賢織物,男性,0.582
